gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue
LOC105329534	uncharacterized LOC105329534	10	0.244618740974806	4.37232645534483	0.605882352941176	0.403739669570068	0.21303996697858	2.66117575420739e-42	1.42401643548241e-36	uncharacterized LOC105329534	Q9ESN6.1	2.21e-08	C12C8.3a.2	0.000615	anne-PI	4.6	XP_787393.2	2.98e-06
LOC105327361	protein arginine N-methyltransferase 1	14	0.162844163827672	7.34630424049266	0.869565217391304	0.187270788401823	0.0581873408786996	0.000475989758319873	1	protein arginine N-methyltransferase 1	Q28F07.1	0	Y113G7B.17.2	9.19e-165	Art1-PA	3.61e-180	XP_030845562.1	1.28e-179
LOC105337367	uncharacterized LOC105337367	9	0.522818543468191	1.36598965986362	0.833935018050542	0.626929595414238	0.599601065844946	1.0396966975807e-157	5.56350020449016e-152	uncharacterized LOC105337367	Q54X49.1	2	F30A10.14.1	2.3	Hsp70Ba-PA	5.1	XP_030831928.1	2.1
LOC105337374	Uncharacterized protein C2orf50	11	0.534222155422196	18.3096425468308	1	0.534222155422196	0.781144583992591	2.11486972712428e-63	1.13168370994202e-57	Uncharacterized protein C2orf50	Q96LR7.1	1.13e-15	F41A4.1.1	2.2	Vps13B-PA	4.7	XP_030830022.1	1.66e-20
LOC105337377	probable protein S-acyltransferase 14	12	0.64416030387302	23.0977406180187	1	0.64416030387302	0.843351244175283	9.34726945518323e-52	5.00179866362419e-46	probable protein S-acyltransferase 14	Q2TGI8.1	5.15e-20	K02G10.1.1	2.56e-22	CG13029-PC	4.96e-22	XP_003726777.1	3.88e-35
LOC105324274	myb-like protein X	10	0.211792778651265	4.23343702386896	0.647058823529412	0.327316112461046	0.218071387801914	2.90000675679162e-43	1.55181681561325e-37	myb-like protein X	Q4WWE9.1	3.1	T09B4.5b.1	2.8	""		XP_030834105.1	0.12
LOC105324274	myb-like protein X	9	0.544691144879593	8.02775802330744	0.996389891696751	0.546664663520461	0.781537204653876	3.75015872543132e-206	2.0067399352481e-200	myb-like protein X	Q4WWE9.1	3.1	T09B4.5b.1	2.8	""		XP_030834105.1	0.12
LOC105331846	protein draper	9	0.574153360038706	3.42163038402306	0.949458483754513	0.604716656770804	0.688710000817346	2.29809504514353e-181	1.22972904341666e-175	protein draper	Q9W0A0.3	3.05e-61	Y64G10A.7b.1	3.17e-55	drpr-PE	3.8e-59	XP_030829202.1	1.6e-59
LOC105331844	uncharacterized LOC105331844	6	0.58666280736464	6.83748447643418	0.924528301886792	0.634553648782161	0.715694321338363	1.67102769611311e-223	8.94180288411692e-218	uncharacterized LOC105331844	Q6BNG2.2	0.005	F32B5.8a.1	1.1	RluA-1-PC	5.1	XP_030835828.1	3.4
LOC105331842	tyrosine-protein kinase BAZ1B	8	0.257163139580791	9.48795813814731	0.930817610062893	0.276276616171256	0.294259735062656	4.90983834492505e-84	2.62729377707615e-78	tyrosine-protein kinase BAZ1B	Q9UIG0.2	0	H20J04.2.1	8.43e-30	tou-PA	5.38e-25	XP_030849368.1	0
