gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue
LOC105329534	uncharacterized LOC105329534	10	0.244618740974806	4.37232645534483	0.605882352941176	0.403739669570068	0.201519535770643	4.25504576886148e-40	2.27690903128393e-34	uncharacterized LOC105329534	Q9ESN6.1	2.21e-08	C12C8.3a.2	0.000615	anne-PI	4.6	XP_787393.2	2.98e-06
LOC105337374	Uncharacterized protein C2orf50	11	0.534222155422196	18.3096425468308	1	0.534222155422196	0.824052992587358	8.24957416937154e-67	4.41441313462406e-61	Uncharacterized protein C2orf50	Q96LR7.1	1.13e-15	F41A4.1.1	2.2	Vps13B-PA	4.7	XP_030830022.1	1.66e-20
LOC105337377	probable protein S-acyltransferase 14	12	0.64416030387302	23.0977406180187	1	0.64416030387302	0.871139352491716	2.06021639777979e-53	1.10243827618315e-47	probable protein S-acyltransferase 14	Q2TGI8.1	5.15e-20	K02G10.1.1	2.56e-22	CG13029-PC	4.96e-22	XP_003726777.1	3.88e-35
LOC105324274	myb-like protein X	10	0.211792778651265	4.23343702386896	0.647058823529412	0.327316112461046	0.222445333316153	4.22111984833353e-44	2.25875499980206e-38	myb-like protein X	Q4WWE9.1	3.1	T09B4.5b.1	2.8	""		XP_030834105.1	0.12
LOC105331846	protein draper	9	0.574153360038706	3.42163038402306	0.949458483754513	0.604716656770804	0.736228554897782	4.91224855145135e-194	2.62858349787003e-188	protein draper	Q9W0A0.3	3.05e-61	Y64G10A.7b.1	3.17e-55	drpr-PE	3.8e-59	XP_030829202.1	1.6e-59
LOC105331844	uncharacterized LOC105331844	6	0.58666280736464	6.83748447643418	0.924528301886792	0.634553648782161	0.721804997346558	1.90233922113865e-225	1.01795693594506e-219	uncharacterized LOC105331844	Q6BNG2.2	0.005	F32B5.8a.1	1.1	RluA-1-PC	5.1	XP_030835828.1	3.4
LOC105331842	tyrosine-protein kinase BAZ1B	8	0.257163139580791	9.48795813814731	0.930817610062893	0.276276616171256	0.2889660339664	1.52626651687561e-82	8.16717423312274e-77	tyrosine-protein kinase BAZ1B	Q9UIG0.2	0	H20J04.2.1	8.43e-30	tou-PA	5.38e-25	XP_030849368.1	0
LOC105323226	FK506-binding protein 2	1	0.395517501480618	13.213734983662	0.636743215031315	0.621156994128578	0.207280890220337	2.86284527229726e-190	1.53193140796844e-184	FK506-binding protein 2	Q2YDL5.1	3.75e-23	C05C8.3.2	3.93e-18	Fkbp14-PD	2.23e-17	XP_786433.3	2e-14
LOC105317489	serine-rich adhesin for platelets	9	0.641024131415347	2.71368222768513	0.938628158844765	0.682937247700197	0.72610977374731	2.46921117026325e-191	1.32129465089723e-185	serine-rich adhesin for platelets	Q8FUI7.2	0.59	T02C5.5b.1	1.6	CG7879-PB	0.86	XP_030849397.1	0.19
LOC105325141	uncharacterized LOC105325141	9	0.642420297562834	1.88285445776095	0.768953068592058	0.835447992605188	0.598402078572415	2.15915491627035e-157	1.15538106893559e-151	uncharacterized LOC105325141	Q6C0K9.1	1.3	K09B11.9a.1	7.1	Cyt-c-p-PB	4.7	XP_030836234.1	0.86
LOC105334990	uncharacterized LOC105334990_ncRNA	11	0.550813647005653	14.0365794107182	0.808510638297872	0.68126951077015	0.531842922798888	1.23075559947962e-43	6.58587167326339e-38	uncharacterized LOC105334990_ncRNA	""		""		""		""	
LOC105334984	radial spoke head 14 homolog	11	0.52845371549665	7.72699890089184	0.936170212765957	0.564484650644149	0.658949324255214	1.04998005835896e-53	5.61852729068347e-48	radial spoke head 14 homolog	Q9D3W1.1	4.65e-101	Y71H2B.10c.1	0.003	p120ctn-PA	0.006	XP_785178.2	4.55e-158
LOC105327784	cholecystokinin receptor type A	9	0.676435772289071	1.70011607950492	0.783393501805054	0.863468704719229	0.608903029007975	3.57945007138959e-160	1.91539236880114e-154	cholecystokinin receptor type A	P70031.1	1.86e-08	T05A1.1b.1	6.15e-09	sNPF-R-PB	2.12e-06	XP_003725989.2	1.33e-16
LOC105322769	contactin	2	0.258338072344533	3.59995280064188	0.776664552948637	0.332625032729694	0.227283566982674	2.27652737177636e-232	1.2181880088565e-226	contactin	Q9VN14.2	2.14e-177	C33F10.5d.1	6.05e-72	Cont-PA	1.27e-170	XP_030829353.1	2.73e-92
LOC105325951	uncharacterized LOC105325951	6	0.387462852635864	4.32774932863399	0.795148247978437	0.487283790942053	0.442997585188057	1.10459629188611e-137	5.91078312558591e-132	uncharacterized LOC105325951	O35607.1	6.75e-107	F29C4.1a.1	1.59e-37	wit-PA	8.5e-100	XP_790983.2	1.12e-117
LOC105325948	transient receptor potential cation channel subfamily M member-like 2	3	0.524882610571117	9.98874339849292	0.92615596963423	0.566732416332003	0.583583544392683	0	0	transient receptor potential cation channel subfamily M member-like 2	A7T1N0.1	1.02e-97	ZK512.3.1	1.34e-59	Trpm-PJ	5.4e-34	XP_030829334.1	8.19e-84
LOC105332280	uncharacterized LOC105332280	7	0.467283907878058	5.18379911867933	0.564864864864865	0.82724902351618	0.367581018104902	4.37649886885613e-114	2.34189955671587e-108	uncharacterized LOC105332280	B4MQJ1.2	9.68e-15	F57B1.1.1	2.8	qvr-PB	3.19e-14	XP_030848427.1	0.011
LOC105318289	centrosome and spindle pole-associated protein 1	11	0.531936760096108	22.6047003059134	1	0.531936760096108	0.834002757224338	1.3355156432208e-67	7.14645104812598e-62	centrosome and spindle pole-associated protein 1	B2RX88.2	0.007	F47D12.4c.2	1.5	CG15563-PA	0.000416	XP_001195971.3	5.07e-16
LOC105325443	tyrosyl-DNA phosphodiesterase 2	8	0.268591149758174	1.66094635015404	0.455974842767296	0.589048176711031	0.222029467511183	1.03832093256621e-63	5.5561383758364e-58	tyrosyl-DNA phosphodiesterase 2	A5D8M0.1	6.14e-84	Y63D3A.4.1	3.43e-49	p47-PA	0.45	XP_030830225.1	9.85e-59
LOC105346986	trichohyalin	5	0.59680895421899	11.3230105897197	0.719919110212336	0.828994460284524	0.450788034502151	5.88971032246594e-230	3.1516311112341e-224	trichohyalin	Q7M3Y3.2	1.19e-35	W03F8.1.2	5.33e-24	wupA-PB	2.81e-11	XP_030845572.1	9.73e-11
LOC105347950	uncharacterized LOC105347950	6	0.4949946308568	5.28652447778732	0.873315363881402	0.566799407555163	0.673730336992828	3.51665073383114e-210	1.88178794087891e-204	uncharacterized LOC105347950	A6LLK6.1	2.4	ZK112.7.1	3	CG42749-PB	4.45e-48	XP_030832622.1	2
LOC105339970	uncharacterized LOC105339970	10	0.249032976969996	10.0106813983802	0.888235294117647	0.280368252217876	0.377053626349707	9.25464941451552e-74	4.95223693890257e-68	uncharacterized LOC105339970	A8F3J8.1	0.39	F41A4.1.1	0.47	CG42346-PD	4.8	XP_030854963.1	0.96
LOC105339970	uncharacterized LOC105339970	9	0.586774936929496	25.1779275409554	1	0.586774936929496	0.842974428568679	1.21939316712762e-222	6.52507038875324e-217	uncharacterized LOC105339970	A8F3J8.1	0.39	F41A4.1.1	0.47	CG42346-PD	4.8	XP_030854963.1	0.96
LOC105339977	uncharacterized LOC105339977	10	0.256508983556801	16.5111006868697	0.952941176470588	0.269176093855902	0.446001544691036	4.82974492498727e-87	2.58443514732009e-81	uncharacterized LOC105339977	Q07E01.1	2.4	D2092.4.1	2.7	kek4-PC	1.6	""	
LOC105339977	uncharacterized LOC105339977	9	0.6068620194665	45.4293064749035	1	0.6068620194665	0.844491441330063	4.76632066953664e-223	2.55049632083441e-217	uncharacterized LOC105339977	Q07E01.1	2.4	D2092.4.1	2.7	kek4-PC	1.6	""	
LOC105324927	contactin-like	1	0.370354652169834	3.32158038464049	0.918200797115202	0.403348214609933	0.527425224740173	0	0	contactin-like	Q9VN14.2	5.38e-172	C18F3.2c.1	7.92e-49	Cont-PA	1.22e-165	XP_030839344.1	8.51e-102
LOC105332609	uncharacterized LOC105332609_ncRNA	10	0.35531234112812	13.7171940692435	0.905882352941176	0.392227909037535	0.46221215129732	3.59339440911004e-90	1.92285409547005e-84	uncharacterized LOC105332609_ncRNA	""		""		""		""	
LOC105332606	transcription factor GATA-4	14	0.440326817554531	19.0968712996271	0.956521739130435	0.460341672897919	0.453197686349437	1.64239904431533e-22	8.78860867805486e-17	transcription factor GATA-4	Q91677.1	1.42e-86	W09C2.1b.1	4.89e-47	pnr-PD	5.74e-63	NP_001005725.1	2.14e-68
LOC105332606	transcription factor GATA-4	6	0.289801647237211	10.9112371776625	0.973045822102426	0.297829393698076	0.637986529035449	7.25163374106842e-199	3.88040722791564e-193	transcription factor GATA-4	Q91677.1	1.42e-86	W09C2.1b.1	4.89e-47	pnr-PD	5.74e-63	NP_001005725.1	2.14e-68
LOC105319359	myb-like protein X	14	0.226614969360122	180.542730325012	1	0.226614969360122	0.611880428308477	7.59805351069731e-30	4.06577921800222e-24	myb-like protein X	""		Y54F10AL.1a.1	1.2	""		XP_030847674.1	0.44
LOC105322006	protein unc-45 homolog B	5	0.349704311229436	4.51153643137855	0.787664307381193	0.443976333512082	0.344089455684607	7.62900999390555e-175	4.08234427981881e-169	protein unc-45 homolog B	D7REX8.1	0	F30H5.1.1	4.63e-162	unc-45-PB	0	XP_797752.4	0
LOC105333225	T-box brain protein 1	4	0.280635276673895	2.20729685874058	0.37207488299532	0.754244076930678	0.179992022543436	4.1475677317566e-102	2.21939667380481e-96	T-box brain protein 1	Q64336.2	1.91e-91	F21H11.3.2	6.33e-55	byn-PC	1.92e-60	XP_791266.2	1.23e-90
LOC105323125	uncharacterized LOC105323125	2	0.169134083762156	4.62051793839916	0.865948002536462	0.195316674057498	0.186915828371315	1.69771023121928e-190	9.08458326407286e-185	uncharacterized LOC105323125	Q5SW96.3	0.005	F46C5.8.2	4.7	CG14968-PA	3.85e-24	XP_003724780.2	6.8e-10
LOC105330942	uncharacterized LOC105330942	13	0.381887442683043	3.01659457038931	0.827586206896552	0.461447326575344	0.314406502940169	6.36341145001661e-19	3.40511237419549e-13	uncharacterized LOC105330942	Q06002.3	0.022	F36H1.3.1	2.4	""		XP_030843518.1	0.19
LOC105332962	mucin-2-like	12	0.63350473952194	5.94927907213759	0.8125	0.77969814095008	0.618482668739434	2.30696720646831e-38	1.23447660791884e-32	mucin-2-like	B3EWY9.1	1.22e-103	Y64G10A.7e.1	5.71e-45	frac-PC	8.52e-65	XP_030853966.1	0
LOC105332654	zinc finger protein 1-like	10	0.482167091315583	18.2157376688396	0.929411764705882	0.518787376731956	0.556026614869613	2.55616240187911e-108	1.36782295054473e-102	zinc finger protein 1-like	G5EBU4.1	1.06e-45	F28F9.1.1	9.38e-47	zfh1-PA	1.63e-40	XP_799337.3	2.47e-36
LOC105344648	elongation of very long chain fatty acids protein 4	12	0.678285954259707	75.2787702664086	1	0.678285954259707	0.980332935326955	6.29557875403559e-60	3.36881455591448e-54	elongation of very long chain fatty acids protein 4	Q3S8M4.1	1.05e-111	F56H11.3.1	1.14e-18	CG31522-PF	9.37e-68	XP_030845097.1	2.18e-106
LOC105344649	elongation of very long chain fatty acids protein 4	12	0.688660554832525	16.6188024164641	1	0.688660554832525	0.900696485096226	3.55765373318903e-55	1.90372897385932e-49	elongation of very long chain fatty acids protein 4	Q9EQC4.2	1.59e-90	F56H11.4a.1	6.4e-20	CG31522-PF	2.72e-76	XP_030845095.1	4.71e-106
LOC105344655	uncharacterized LOC105344655	9	0.639450191350876	1.26213413614616	0.848375451263538	0.75373490640082	0.695169560503057	4.37831620204243e-183	2.34287202624252e-177	uncharacterized LOC105344655	B0UJ78.1	1.8	Y45F10D.13a.1	1.5	ksr-PD	4.9	XP_800040.1	1.6
LOC105342681	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	2	0.142323760794381	2.33560112851885	0.716296766011414	0.198693848063686	0.0792778883005566	7.42701561260746e-81	3.97425547043115e-75	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	P10688.1	0	K10F12.3b.1	1.14e-117	norpA-PE	2.95e-82	XP_030830012.1	8.96e-180
