gene_id	gene_short_name	cell_group	marker_score	mean_expression	fraction_expressing	specificity	pseudo_R2	marker_test_p_value	marker_test_q_value	gene_ID	unitpro	up_evalue	cel	cel_evalue	dmel	dmel_evalue	spur_acc	spur_evalue
LOC105329534	uncharacterized LOC105329534	10	0.244618740974806	4.37232645534483	0.605882352941176	0.403739669570068	0.210154384315135	9.48701685472259e-42	5.0765786150969e-36	uncharacterized LOC105329534	Q9ESN6.1	2.21e-08	C12C8.3a.2	0.000615	anne-PI	4.6	XP_787393.2	2.98e-06
LOC105337374	Uncharacterized protein C2orf50	11	0.534222155422196	18.3096425468308	1	0.534222155422196	0.75488392675334	2.57310008974733e-61	1.37688644282451e-55	Uncharacterized protein C2orf50	Q96LR7.1	1.13e-15	F41A4.1.1	2.2	Vps13B-PA	4.7	XP_030830022.1	1.66e-20
LOC105331844	uncharacterized LOC105331844	6	0.58666280736464	6.83748447643418	0.924528301886792	0.634553648782161	0.711276871099773	4.24151145833905e-222	2.26966671344889e-216	uncharacterized LOC105331844	Q6BNG2.2	0.005	F32B5.8a.1	1.1	RluA-1-PC	5.1	XP_030835828.1	3.4
LOC105317489	serine-rich adhesin for platelets	9	0.641024131415347	2.71368222768513	0.938628158844765	0.682937247700197	0.721546617794654	4.07516596235348e-190	2.18065390778305e-184	serine-rich adhesin for platelets	Q8FUI7.2	0.59	T02C5.5b.1	1.6	CG7879-PB	0.86	XP_030849397.1	0.19
LOC105325141	uncharacterized LOC105325141	9	0.642420297562834	1.88285445776095	0.768953068592058	0.835447992605188	0.61955406923815	5.3915363672754e-163	2.88505424242e-157	uncharacterized LOC105325141	Q6C0K9.1	1.3	K09B11.9a.1	7.1	Cyt-c-p-PB	4.7	XP_030836234.1	0.86
LOC105334990	uncharacterized LOC105334990_ncRNA	11	0.550813647005653	14.0365794107182	0.808510638297872	0.68126951077015	0.518051118079165	1.52005648995404e-42	8.13394388226328e-37	uncharacterized LOC105334990_ncRNA	""		""		""		""	
LOC105334984	radial spoke head 14 homolog	11	0.52845371549665	7.72699890089184	0.936170212765957	0.564484650644149	0.61090025213828	6.74985885664685e-50	3.61190347306258e-44	radial spoke head 14 homolog	Q9D3W1.1	4.65e-101	Y71H2B.10c.1	0.003	p120ctn-PA	0.006	XP_785178.2	4.55e-158
LOC105327784	cholecystokinin receptor type A	9	0.676435772289071	1.70011607950492	0.783393501805054	0.863468704719229	0.615967600730867	4.81058701375367e-162	2.5741835957557e-156	cholecystokinin receptor type A	P70031.1	1.86e-08	T05A1.1b.1	6.15e-09	sNPF-R-PB	2.12e-06	XP_003725989.2	1.33e-16
LOC105322769	contactin	2	0.258338072344533	3.59995280064188	0.776664552948637	0.332625032729694	0.237278716198244	8.37719000286967e-243	4.48270138805558e-237	contactin	Q9VN14.2	2.14e-177	C33F10.5d.1	6.05e-72	Cont-PA	1.27e-170	XP_030829353.1	2.73e-92
LOC105325951	uncharacterized LOC105325951	6	0.387462852635864	4.32774932863399	0.795148247978437	0.487283790942053	0.457819747603807	2.65296306461529e-142	1.41962175958016e-136	uncharacterized LOC105325951	O35607.1	6.75e-107	F29C4.1a.1	1.59e-37	wit-PA	8.5e-100	XP_790983.2	1.12e-117
